id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,I,1.525,1.175,0.375,28.973189,12.7289255,6.64795775,8.34892775,9
1,I,1.1,0.825,0.275,10.41844125,4.52174525,2.324659,3.40194,8
2,M,1.3875,1.1125,0.375,24.777463,11.3398,5.556502,6.6621325,9
3,F,1.7,1.4125,0.5,50.6605565,20.354941,10.9918385,14.9968855,11
4,I,1.25,1.0125,0.3375,23.2891143,11.97766375,4.5075705,5.953395,8
5,M,1.5,1.175,0.4125,28.84561625,13.4093135,6.78970525,7.93786,10
6,M,1.575,1.1375,0.35,30.0221205,11.9351395,7.3425205,8.6465975,11
7,I,1.3125,1.025,0.35,18.29960225,8.2497045,3.89805625,5.6699,11
8,F,1.6,1.2875,0.4375,38.82464025,16.96717575,7.41339425,10.77281,12
9,M,1.025,0.7625,0.2625,10.30504325,4.49339575,2.1262125,2.9766975,11
10,I,0.925,0.725,0.2125,6.10931725,2.6932025,1.7293195,2.1262125,7
11,F,1.275,0.975,0.375,19.57532975,7.3425205,4.2807745,6.23689,10
12,M,1.35,1.025,0.35,20.96445525,8.50485,4.63514325,6.9456275,10
13,I,1.1,0.8625,0.2875,11.43902325,4.5075705,2.33883375,3.40194,7
14,M,1.3125,0.9875,0.3125,17.44911725,8.54737425,3.98310475,5.2446575,9
15,I,0.9375,0.75,0.2,7.24329725,3.231843,1.63009625,2.1262125,7
16,I,1.0125,0.775,0.3,9.45455825,3.78465825,2.608154,2.83495,8
17,F,1.6375,1.25,0.425,39.179009,16.25843825,8.71747125,10.489315,12
18,I,1.1375,0.9125,0.2875,13.36678925,6.860579,2.664853,3.96893,7
19,I,0.675,0.4875,0.1,2.08368825,0.8788345,0.63786375,0.737087,5
20,M,1.55,1.2,0.425,32.772022,14.5432935,6.23689,9.08601475,9
21,F,1.0875,0.875,0.3125,15.37960375,5.34388075,3.24601775,4.9611625,14
22,F,1.7375,1.3375,0.4125,47.513762,21.1770765,11.49572225,13.891255,10
23,M,1.4375,1.1,0.3125,24.8058125,12.03436275,5.5848515,6.3786375,9
24,I,0.925,0.7125,0.2375,6.98815175,2.6365035,1.48834875,2.1262125,7
